Gold Rate(BDT/GRAM),,,,
Date,22 KARAT Gold,21 KARAT Gold,18 KARAT Gold,TRADITIONAL Gold
28:October:2024,12170,11617,9957,8181
29:October:2024,12170,11617,9957,8181
30:October:2024,12170,11617,9957,8181
31:October:2024,12305,11746,10068,8275
01:November:2024,12305,11746,10068,8275
02:November:2024,12305,11746,10068,8275
04:November:2024,12305,11746,10068,8275
05:November:2024,12188,11634,9972,8194
06:November:2024,12188,11634,9972,8194
07:November:2024,12188,11634,9972,8194
08:November:2024,11892,11351,9730,7987
09:November:2024,11892,11351,9730,7987
10:November:2024,11892,11351,9730,7987
11:November:2024,11892,11351,9730,7987
12:November:2024,11892,11351,9730,7987
13:November:2024,11676,11145,9553,7837
14:November:2024,11676,11145,9553,7837
15:November:2024,11532,11008,9436,7736
16:November:2024,11532,11008,9436,7736
17:November:2024,11532,11008,9436,7736
18:November:2024,11532,11008,9436,7736
19:November:2024,11532,11008,9436,7736
20:November:2024,11784,11248,9641,7912
21:November:2024,11784,11248,9641,7912
22:November:2024,11955,11411,9781,8031
23:November:2024,11955,11411,9781,8031
24:November:2024,12197,11643,9979,8200
25:November:2024,12197,11643,9979,8200
26:November:2024,12035,11488,9847,8087
27:November:2024,11793,11257,9649,7918
28:November:2024,11892,11351,9730,7987
29:November:2024,11892,11351,9730,7987
30:November:2024,11892,11351,9730,7987
01:December:2024,11892,11351,9730,7987
02:December:2024,11765,11231,9627,7899
03:December:2024,11765,11231,9627,7899
04:December:2024,11765,11231,9627,7899
05:December:2024,11765,11231,9627,7899
06:December:2024,11765,11231,9627,7899
06:December:2024,11765,11231,9627,7899
07:December:2024,11765,11231,9627,7899
08:December:2024,11765,11231,9627,7899
09:December:2024,11765,11231,9627,7899
10:December:2024,11865,11325,9708,7968
11:December:2024,11865,11325,9708,7968
12:December:2024,12026,11480,9840,8081
13:December:2024,12026,11480,9840,8081
14:December:2024,12026,11480,9840,8081
15:December:2024,11874,11334,9715,7975
16:December:2024,11874,11334,9715,7975
17:December:2024,11874,11334,9715,7975
18:December:2024,11874,11334,9715,7975
19:December:2024,12053,11505,9862,8100
20:December:2024,12053,11505,9862,8100
21:December:2024,12053,11505,9862,8100
22:December:2024,12053,11505,9862,8100
23:December:2024,12053,11505,9862,8100
24:December:2024,11946,11403,9774,8025
25:December:2024,11946,11403,9774,8025
26:December:2024,11946,11403,9774,8025
27:December:2024,11946,11403,9774,8025
28:December:2024,11946,11403,9774,8025
29:December:2024,11946,11403,9774,8025
30:December:2024,11856,11317,9700,7962
31:December:2024,11856,11317,9700,7962
02:January:2025,11856,11317,9700,7962
03:January:2025,11856,11317,9700,7962
04:January:2025,11856,11317,9700,7962
05:January:2025,11856,11317,9700,7962
06:January:2025,11856,11317,9700,7962
07:January:2025,11856,11317,9700,7962
08:January:2025,11856,11317,9700,7962
09:January:2025,11856,11317,9700,7962
10:January:2025,11856,11317,9700,7962
11:January:2025,11856,11317,9700,7962
12:January:2025,11856,11317,9700,7962
13:January:2025,11856,11317,9700,7962
14:January:2025,11856,11317,9700,7962
15:January:2025,11856,11317,9700,7962
17:January:2025,11955,11411,9781,8031
17:January:2025,11955,11411,9781,8031
18:January:2025,11955,11411,9781,8031
19:January:2025,11955,11411,9781,8031
20:January:2025,11955,11411,9781,8031
21:January:2025,11955,11411,9781,8031
22:January:2025,11955,11411,9781,8031
24:January:2025,12125,11574,9921,8150
25:January:2025,12125,11574,9921,8150
26:January:2025,12125,11574,9921,8150
27:January:2025,12125,11574,9921,8150
28:January:2025,12125,11574,9921,8150
29:January:2025,12125,11574,9921,8150
01:February:2025,12242,11686,10016,8232
01:February:2025,12242,11686,10016,8232
01:February:2025,12242,11686,10016,8232
02:February:2025,12422,11857,10163,8357
03:February:2025,12422,11857,10163,8357
04:February:2025,12422,11857,10163,8357
05:February:2025,12422,11857,10163,8357
06:February:2025,12673,12097,10369,8533
07:February:2025,12673,12097,10369,8533
08:February:2025,12673,12097,10369,8533
09:February:2025,12673,12097,10369,8533
10:February:2025,12673,12097,10369,8533
